pl_name,pl_letter,tic,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
HD 93385,d,106900981,0,45.85,0.05,-0.05,0,0.2565,0.0043,-0.0043,0,0.258,,,0,0.09,0.15,-0.05,0,,,,,2455522.3,7.4,-7.4,0,G2/G3 V,5977,18,-18,0,1.18,0.07,-0.06,0,161.5627065,-41.464604,43.3475,0.0649,-0.0648
HD 93963 A,b,368435330,0,1.0391353,0.0000049,-0.0000049,0,0.02085,0.00037,-0.00037,0,0.12,0.004,-0.004,0,,,,,2458901.277,0.0016,-0.0016,0,,,,,G0 V,5987,64,-64,0,1.04,0.01,-0.01,0,162.7766969,25.641065,82.3432,0.3932,-0.3896
HD 93963 A,c,368435330,0,3.6451398,0.0000106,-0.0000142,0,0.04813,0.00085,-0.00085,0,0.288,0.005,-0.005,0,,,,,2458902.873,0.001,-0.00095,0,,,,,G0 V,5987,64,-64,0,1.04,0.01,-0.01,0,162.7766969,25.641065,82.3432,0.3932,-0.3896
HD 9446,b,18277196,0,30.052,0.027,-0.027,0,0.189,0.006,-0.006,0,1.25,,,0,0.2,0.06,-0.06,0,,,,,2454854.4,2,-2,0,G5 V,5793,22,-22,0,1,,,0,23.3350424,29.2649187,50.3503,0.3538,-0.349
HD 9446,c,18277196,0,192.9,0.9,-0.9,0,0.654,0.022,-0.022,0,1.2,,,0,0.06,0.06,-0.06,0,,,,,2454510,70,-70,0,G5 V,5793,22,-22,0,1,,,0,23.3350424,29.2649187,50.3503,0.3538,-0.349
HD 94771,b,48974071,0,2164,21,-20,0,3.48,0.03,-0.03,0,1.27,,,0,0.39,0.05,-0.04,0,,,,,2455485,40,-42,0,G3/G5 V,5631,21,-21,0,1.9,0.02,-0.02,0,163.9746776,-35.1145225,57.7807,0.1205,-0.1199
HD 94834,b,138764379,0,1576,76,-76,0,2.74,0.18,-0.18,0,1.22,,,0,0.14,0.1,-0.1,0,,,,,2456100,190,-190,0,K0,4798,,,0,4.2,,,0,164.3126363,24.1429374,98.1609,0.6436,-0.6436
HD 95086,b,399637637,0,,,,,55.7,2.5,-2.5,0,1.15,,,0,,,,,,,,,,,,,A8 III,7883,43,-65,0,1.49,0.06,-0.04,0,164.2621032,-68.6672917,86.2279,0.2443,-0.2431
HD 95089,b,345078350,0,464.4,3.8,-3.8,0,1.36,0.13,-0.13,0,1.22,,,0,0.119,0.072,-0.072,0,,,,,2440070,130,-130,0,G8/K0 IV,4918,,,0,5.08,,,0,164.698748,1.7290087,136.957,1.955,-1.955
HD 95089,c,345078350,0,1785,32,-32,0,3.33,0.31,-0.31,0,1.17,,,0,0.284,0.042,-0.042,0,,,,,2441170,260,-260,0,G8/K0 IV,4918,,,0,5.08,,,0,164.698748,1.7290087,136.957,1.955,-1.955
