pl_name,pl_letter,tic,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
11 Com,b,72437047,0,323.21,0.06,-0.05,0,1.178,0,0,0,1.09,,,0,0.238,0.007,-0.007,0,,,,,2454519.4,1.5,-1.6,0,G8 III,4874,,,0,13.76,2.85,-2.45,0,185.1787793,17.7932516,93.1846,1.9238,-1.9238
11 UMi,b,230061010,0,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,1.09,,,0,0.08,0.03,-0.03,0,,,,,2452861.04,2.06,-2.06,0,K4 III,4213,46,-46,0,29.79,2.84,-2.84,0,229.2745954,71.8239428,125.321,1.9765,-1.9765
14 And,b,333225860,0,186.76,0.11,-0.12,0,0.775,0,0,0,1.16,,,0,0,,,0,,,,,2452853,2.1,-2.1,0,K0 III,4888,,,0,11.55,1.12,-0.51,0,352.82415,39.2358367,75.4392,0.714,-0.714
14 Her,b,219483057,0,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0,1.12,,,0,0.373,0.008,-0.006,0,2456834.4,1.7,-1.9,0,2449614.563,5.447,-6.281,0,K0 V,5338,25,-25,0,0.93,0.01,-0.01,0,242.6021014,43.8163621,17.9323,0.0073,-0.0073
16 Cyg B,b,27533327,0,798.5,1,-1,0,1.66,0.03,-0.03,0,1.2,,,0,0.68,0.02,-0.02,0,2456937.32,0.38,-0.38,0,2450539.3,1.6,-1.6,0,G3 V,5750,8,-8,0,1.13,0.01,-0.01,0,295.4656422,50.5168243,21.1397,0.011,-0.0111
17 Sco,b,135596590,0,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,1.15,,,0,0.06,0.03,-0.02,0,,,,,2453294.41,174.23,-182.91,0,K3 III,4157,11,-10,0,25.92,0.78,-0.74,0,243.4620874,-11.8377905,124.953,2.59,-2.59
18 Del,b,354489950,0,982.85,1.06,-0.92,0,2.476,0.002,-0.002,0,1.12,,,0,0.024,0.007,-0.018,0,,,,,2454356.1,102.9,-118.2,0,G6 III,4980,,,0,8.8,0.61,-0.4,0,314.6078375,10.8391378,76.222,0.6217,-0.6217
1RXS J160929.1-210524,b,48964101,0,,,,,330,,,0,1.664,,,0,,,,,,,,,,,,,K7 V,4060,300,-200,0,1.31,0.18,-0.1,0,242.3762343,-21.0831403,139.135,1.332,-1.307
24 Boo,b,441712711,0,30.33,0,-0.01,0,0.194,0,0,0,1.24,,,0,0.032,0.039,-0.023,0,,,,,2455129.2,3,-15.4,0,G3 IV,4816,,,0,12.19,1.45,-1.28,0,217.1555242,49.8446488,95.9863,0.63685,-0.63685
24 Sex,b,1713457,0,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,1.19,,,0,0.09,0.14,-0.06,0,,,,,2454762,67.3,-172.3,0,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,155.8684866,-0.9023998,72.0691,0.6854,-0.6728
24 Sex,c,1713457,0,883,32.4,-13.8,0,2.08,0.05,-0.02,0,1.24,,,0,0.29,0.16,-0.09,0,,,,,2454930,209.9,-96.5,0,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,155.8684866,-0.9023998,72.0691,0.6854,-0.6728
2MASS J04372171+2651014,b,125843782,0,,,,,118,1.3,-1.3,0,1.16,,,0,,,,,,,,,,,,,M V,3100,100,-100,0,0.84,0.11,-0.11,0,69.3405531,26.8502997,128.484,1.196,-1.174
2MASS J01033563-5515561 A,b,206502540,0,,,,,84,,,0,1.1,,,0,,,,,,,,,,,,,M5.5/M6,,,,,,,,,15.8992489,-55.2658291,47.2,3.1,-3.1
2MASS J01225093-2439505,b,11614485,0,,,,,52,6,-6,0,1,,,0,,,,,,,,,,,,,M3.5 V,3530,50,-50,0,0.37,0.01,-0.01,0,20.7128012,-24.6646128,33.8281,0.0864,-0.086
2MASS J02192210-3925225,b,77111651,0,,,,,156,10,-10,0,1.44,0.03,-0.03,0,,,,,,,,,,,,,M6,3064,76,-76,0,0.28,0.01,-0.01,0,34.8427046,-39.4230767,40.0896412,0.1940496,-0.1940496
2MASS J04414489+2301513,b,118893899,0,,,,,15,,,0,1.13,,,0,,,,,,,,,,,,,M8.5,2936,182,-182,0,0.23,0.01,-0.01,0,70.4371079,23.0308544,120.423987,5.4783417,-5.4783417
2MASS J12073346-3932539,b,102076870,0,,,,,55,,,0,1.15,,,0,,,,,,,,,,,,,M8,2825,157,-157,0,0.22,0.01,-0.01,0,181.8890906,-39.5484399,64.308,0.6569,-0.644
2MASS J19383260+4603591,b,271164763,0,406,4,-4,0,0.92,0.02,-0.02,0,1.2,,,0,0.33,0.05,-0.05,0,,,,,2455131,11,-11,0,,29564,,,0,0.2,0,0,0,294.6359173,46.0664076,396.332,6.3885,-6.3885
2MASS J22362452+4751425,b,200532605,0,,,,,230,20,-20,0,1.1,,,0,,,,,,,,,,,,,K7 V,4045,35,-35,0,0.64,0.06,-0.06,0,339.1025931,47.861683,69.5737,0.1592,-0.1585
30 Ari B,b,22874788,0,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,1.1,,,0,0.29,0.09,-0.09,0,,,,,2454538,20,-20,0,F6 V,6331,61,-61,0,1.41,0.05,-0.05,0,39.2412736,24.6480103,44.657,0.1039,-0.1034
4 UMa,b,356478817,0,270.27,0.24,-0.09,0,0.877,0.001,0,0,1.12,,,0,0.453,0.021,-0.036,0,,,,,2455958.1,2.3,-4.1,0,K1 III,4415,70,-70,0,18.11,1.47,-1.47,0,130.0528099,64.3280504,73.4603,1.18605,-1.18605
42 Dra,b,233721425,0,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,1.16,,,0,0.38,0.06,-0.06,0,,,,,2452757.4,3.7,-3.7,0,K1.5 III,4200,70,-70,0,22.03,1,-1,0,276.4975053,65.5633652,90.6545,1.3227,-1.3227
47 UMa,b,21535479,0,1078,2,-2,0,2.1,0.02,-0.02,0,1.18,,,0,0.032,0.014,-0.014,0,2454415.6,3,-2.9,0,2451917,63,-76,0,G0 V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,164.8647611,40.4304931,13.7967,0.0289,-0.0289
47 UMa,c,21535479,0,2391,100,-87,0,3.6,0.1,-0.1,0,1.27,,,0,0.098,0.047,-0.096,0,2455651,59,-46,0,2452441,628,-825,0,G1 V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,164.8647611,40.4304931,13.7967,0.0289,-0.0289
47 UMa,d,21535479,0,14002,4018,-5095,0,11.6,2.1,-2.9,0,1.2,,,0,0.16,0.09,-0.16,0,2451820,170,-200,0,2451736,6783,-5051,0,G0V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,164.8647611,40.4304931,13.7967,0.0289,-0.0289
51 Eri,b,298810162,0,11688,6209.25,-3287.25,0,13.2,0.2,-0.2,0,1.19,,,0,0.45,0.1,-0.15,0,,,,,2455563,5844,-1826,0,F0 IV,7295,120.09,-98.99,0,1.49,0.05,-0.06,0,69.4007424,-2.4738245,29.7575,0.1213,-0.1203
51 Peg,b,139298196,0,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,1.27,,,0,0.013,0.012,-0.012,0,2455705.001,0.006,-0.006,0,2450001.51,0.61,-0.61,0,G5V,5758,101.62,-119.62,0,1.18,0.07,-0.04,0,344.3675399,20.7690958,15.4614,0.0297,-0.0297
55 Cnc,b,332064670,0,14.6516,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0,1.24,,,0,0,0.01,-0.01,0,2455803.293,0.014,-0.014,0,2453021.08,0.01,-0.01,0,K0 IV-V,5172,18,-18,0,0.94,0.01,-0.01,0,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc,c,332064670,0,44.3989,0.0042,-0.0043,0,0.2373,0.0013,-0.0013,0,0.76,,,0,0.03,0.02,-0.02,0,2455846.83,0.43,-0.48,0,2453028.63,0.25,-0.25,0,G8V,5172,18,-18,0,0.94,0.01,-0.01,0,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc,d,332064670,0,5574.2,93.8,-88.6,0,5.957,0.074,-0.071,0,1.16,,,0,0.13,0.02,-0.02,0,2455790,120,-91,0,2452837.69,68.87,-68.87,0,G8 V,5172,18,-18,0,0.94,0.01,-0.01,0,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc,e,332064670,0,0.7365474,0.0000013,-0.0000014,0,0.01544,0.00005,-0.00005,0,0.167,0.003,-0.003,0,0.05,0.03,-0.03,0,2457063.21,0.0006,-0.0004,0,2447578.216,0.0001,-0.0001,0,G8 V,5172,18,-18,0,0.94,0.01,-0.01,0,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc,f,332064670,0,259.88,0.29,-0.29,0,0.7708,0.0043,-0.0044,0,0.677,,,0,0.08,0.05,-0.04,0,2456020.7,5.2,-6.1,0,2447488,1.1,-1.1,0,G8V,5172,18,-18,0,0.94,0.01,-0.01,0,133.1468373,28.3298154,12.5855,0.0124,-0.0123
6 Lyn,b,444865362,0,919.86,1.92,-3.71,0,2.028,0.003,-0.005,0,1.2,,,0,0.042,0.024,-0.032,0,,,,,2453537.3,121.2,-224.7,0,K0 IV,4941,,,0,4.94,0.55,-0.5,0,97.6960311,58.1611753,54.6599,0.2734,-0.2734
61 Vir,b,422478973,0,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.188,,,0,0.12,0.11,-0.11,0,2455200.7,0.14,-0.11,0,,,,,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,199.596455,-18.3157745,8.50332,0.01737,-0.0173
61 Vir,c,422478973,0,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.398,,,0,0.14,0.06,-0.06,0,2454922.48,0.69,-0.65,0,,,,,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,199.596455,-18.3157745,8.50332,0.01737,-0.0173
61 Vir,d,422478973,0,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.456,,,0,0.35,0.09,-0.09,0,,,,,,,,,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,199.596455,-18.3157745,8.50332,0.01737,-0.0173
7 CMa,b,48237215,0,735.1,14.8,-1,0,1.758,0.024,-0.001,0,1.2,,,0,0.06,0.03,-0.03,0,,,,,2454093,34,-34,0,K1 III,4826,45,-55,0,4.87,0.17,-0.14,0,99.171276,-19.2561808,19.8101,0.1648,-0.1648
7 CMa,c,48237215,0,996,1.5,-52.4,0,2.153,0.003,-0.08,0,1.24,,,0,0.08,0.05,-0.04,0,,,,,,,,,K1III(+M),4826,45,-55,0,4.87,0.17,-0.14,0,99.171276,-19.2561808,19.8101,0.1648,-0.1648
70 Vir,b,95473936,0,116.688,0.0054,-0.0054,0,0.481,0.022,-0.022,0,1.13,,,0,0.3988,0.0019,-0.0019,0,2455656.682,0.047,-0.047,0,2455291.721,0.086,-0.086,0,G5V,5495,,,0,1.89,,,0,202.1064898,13.7763085,17.9011,0.056,-0.0557
75 Cet,b,251095345,0,696.62,1.33,-1.69,0,1.912,0.002,-0.003,0,1.18,,,0,0.093,0.026,-0.042,0,,,,,2455056.9,34.6,-60.5,0,G3 III,4809,,,0,10.38,0.15,-0.26,0,38.0391598,-1.0350269,82.9613,0.72365,-0.72365
75 Cet,c,251095345,0,2051.62,45.98,-40.47,0,3.929,0.058,-0.052,0,1.24,,,0,0.023,0.191,-0.003,0,,,,,2454284.9,474,-765.7,0,G3 III,4809,,,0,10.38,0.15,-0.26,0,38.0391598,-1.0350269,82.9613,0.72365,-0.72365
8 UMi,b,257005016,0,93.4,4.5,-4.5,0,0.49,0.02,-0.02,0,1.22,,,0,0.06,0.09,-0.09,0,,,,,2454108.5,22.8,-22.8,0,K0,4847,7,-7,0,10.3,0.57,-0.57,0,224.201685,74.9009379,162.552,0.651,-0.646
81 Cet,b,35725282,0,1005.57,1.84,-1.94,0,2.104,0.003,-0.003,0,1.17,,,0,0.037,0.015,-0.025,0,,,,,2453458.4,106,-180.6,0,G5 III,4734,,,0,11.21,0.81,-0.35,0,39.4243555,-3.3963607,101.26,1.222,-1.222
91 Aqr,b,4610441,0,181.4,0.1,-0.1,0,0.7,,,0,1.17,,,0,0.027,0.026,-0.026,0,,,,,2453472.1,24.5,-24.5,0,K0 III,4665,18,-18,0,11,0.1,-0.1,0,348.9745031,-9.0878076,44.0304,0.51325,-0.51325
AB Aur,b,96680681,0,,,,,93.9,49.3,-49.3,0,1.12,,,0,0.4,0.2,-0.21,0,,,,,,,,,,9770,100,-100,0,2.96,0.1,-0.07,0,73.9410446,30.5510888,162.127,1.526,-1.498
AB Pic,b,260351540,0,,,,,260,,,0,1.1,,,0,,,,,,,,,,,,,K2 V,5285,10,-9,0,1,0.03,-0.02,0,94.8039208,-58.0541184,50.0475,0.0735,-0.0733
AF Lep,b,94945758,0,8030,1800,-1800,0,8.4,1.1,-1.3,0,1.17,,,0,0.24,0.27,-0.15,0,2456700,800,-1200,0,2456328,1386,-503,0,F8 V,6130,60,-60,0,1.25,0.06,-0.06,0,81.7699216,-11.9011752,26.8564,0.0189,-0.0188
AU Mic,b,441420236,0,8.4629991,,,0,0.0645,0.0013,-0.0013,0,0.353,0.013,-0.013,0,0.186,0.036,-0.035,0,2458330.39,,,0,2458322.77,0.83,-2.3,0,M1,3665,31,-31,0,0.82,0.02,-0.02,0,311.2911369,-31.34245,9.7221,0.004625,-0.004625
AU Mic,c,441420236,0,18.858991,,,0,0.1101,0.002,-0.002,0,0.289,0.014,-0.014,0,0.00338,0.00164,-0.00164,0,2458342.224,,,0,2458324,2.9,-3.7,0,M1,3665,31,-31,0,0.82,0.02,-0.02,0,311.2911369,-31.34245,9.7221,0.004625,-0.004625
AU Mic,d,441420236,0,12.73596,0.00793,-0.00793,0,,,,,0.091,,,0,0.00305,0.00104,-0.00104,0,,,,,,,,,M1,3678,90,-88,0,0.74,0.02,-0.02,0,311.2911369,-31.34245,9.7221,0.004625,-0.004625
BD+03 2562,b,366659915,0,481.9,2.7,-2.8,0,1.3,0.1,-0.1,0,1.13,,,0,0.2,0.12,-0.08,0,,,,,2453726,41,-32,0,,4095,20,-20,0,32.35,8.82,-8.82,0,177.5647268,2.7601075,1070.63,63.875,-63.875
BD+14 4559,b,230183006,0,268.94,0.99,-0.99,0,0.78,0.05,-0.05,0,1.23,,,0,0.29,0.03,-0.03,0,,,,,2453293.71,6.35,-6.35,0,K2 V,4864,101,-101,0,0.86,0.04,-0.04,0,318.4010002,14.6893834,49.352,0.0846,-0.0844
BD+15 2375,b,82604982,0,153.22,0.44,-0.44,0,0.576,0.027,-0.027,0,1.23,,,0,0.001,0.25,-0.001,0,,,,,2457680.5,700,-630,0,G5,4649,30,-30,0,8.95,1.45,-1.45,0,176.4820239,14.6163182,768.045,45.038,-45.038
BD+15 2940,b,393702609,0,137.48,0.34,-0.34,0,0.539,,,0,1.23,,,0,0.26,0.1,-0.1,0,,,,,2453464,16,-16,0,K0,4796,117,-117,0,14.7,2.8,-2.8,0,240.09564,15.5467507,426.42,6.44,-6.44
BD+20 2457,b,95359428,0,379.63,2.01,-2.01,0,1.45,,,0,1.08,,,0,0.15,0.03,-0.03,0,,,,,2454677.03,28.19,-28.19,0,K2 II,4137,10,-10,0,49,26,-26,0,154.186782,19.8912626,1539.71,189.925,-189.925
BD+20 2457,c,95359428,0,621.99,10.2,-10.2,0,2.01,,,0,1.1,,,0,0.18,0.06,-0.06,0,,,,,2453866.95,27.99,-27.99,0,K2 II,4137,10,-10,0,49,26,-26,0,154.186782,19.8912626,1539.71,189.925,-189.925
BD+20 274,b,60923874,0,578.2,5.4,-5.4,0,1.3,,,0,1.16,,,0,0.21,0.06,-0.06,0,,,,,2453921,33.2,-33.2,0,K5 III,4296,10,-10,0,17.3,0.9,-0.9,0,25.9203179,21.0052692,1322.51,80.535,-80.535
BD+20 594,b,26123781,0,41.6855,0.003,-0.003,0,0.241,0.019,-0.017,0,0.23,0.01,-0.01,0,0,,,0,2457068.529,0.002801,-0.002798,0,,,,,G,5766,99,-99,0,1.08,0.06,-0.06,0,53.6511231,20.5990205,179.461,1.257,-1.24
BD+45 564,b,292607437,0,307.88,1.47,-1.47,0,0.83,0.04,-0.04,0,1.21,,,0,0.12,0.06,-0.06,0,,,,,,,,,K1,5004,50,-50,0,0.81,0.04,-0.04,0,32.9470485,45.9242187,53.622,0.1919,-0.1905
BD+48 738,b,302069358,0,392.6,5.5,-5.5,0,1,,,0,1.24,,,0,0.2,0.1,-0.1,0,,,,,2454457.7,28.5,-28.5,0,K0 III,4414,15,-15,0,11,1,-1,0,40.7102869,49.5869395,871.493,43.849,-43.849
BD+48 740,b,302070274,0,733,5,-8,0,1.7,0.1,-0.1,0,1.2,,,0,0.76,0.05,-0.09,0,,,,,2454774.5,21,-15,0,K3 III,4534,8,-8,0,10.33,1.81,-1.81,0,40.7425426,48.9300579,666.589,21.5335,-21.5335
BD+49 828,b,116376059,0,2590,300,-180,0,4.2,0.32,-0.2,0,1.21,,,0,0.35,0.24,-0.1,0,,,,,2455470.5,200,-170,0,K0,4943,30,-30,0,7.6,1.3,-1.3,0,45.6406187,49.7299481,442.042,7.654,-7.654
BD+55 362,b,453226076,0,265.59,1.04,-1.04,0,0.78,0.05,-0.05,0,1.25,,,0,0.27,0.06,-0.06,0,,,,,2458194.19,12.29,-12.29,0,K3,5012,78,-78,0,0.9,0.06,-0.04,0,23.9636676,56.6982282,52.5697,0.0974,-0.0971
BD+60 1417,b,159527171,0,,,,,1662,,,0,1.31,0.06,-0.06,0,,,,,,,,,,,,,K0,4993,124,-124,0,0.8,0.05,-0.05,0,190.8875453,60.0143636,44.9543,0.0593,-0.0592
BD+63 1405,b,233075841,0,1198.48,60.79,-60.79,0,2.06,0.14,-0.14,0,1.11,,,0,0.88,0.02,-0.02,0,,,,,2455771,79,-83,0,K0,5000,53,-53,0,0.8,0.04,-0.06,0,271.3979337,63.6700064,38.0473,0.0329,-0.0329
BD-00 4475,b,262567433,0,723.2,0.74,-0.74,0,1.48,0.11,-0.11,0,1.07,,,0,0.39,0.01,-0.01,0,,,,,2458799.64,3.47,-3.47,0,G0,5040,112,-112,0,0.84,0.04,-0.04,0,347.7108441,0.4085612,42.6402,0.1816,-0.1801
BD-06 1339,b,66914642,1,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0.254,,,0,0,,,0,,,,,2455220.5,0.1,-0.1,0,K7/M0 V,4324,100,-100,0,0.69,0.06,-0.07,0,88.2511811,-5.9963378,20.2695,0.022,-0.0218
BD-06 1339,c,66914642,0,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.747,,,0,0.31,0.11,-0.11,0,,,,,2455265.2,17.6,-17.6,0,K7/M0 V,4324,100,-100,0,0.69,0.06,-0.07,0,88.2511811,-5.9963378,20.2695,0.022,-0.0218
BD-08 2823,b,33355302,0,5.6,0.02,-0.02,0,0.06,0,0,0,0.322,,,0,0.15,0.15,-0.15,0,,,,,2454637.7,1.6,-1.6,0,K3 V,4816,114,-114,0,0.71,0.04,-0.04,0,150.1971964,-9.5165689,41.3342,0.0685,-0.0682
BD-08 2823,c,33355302,0,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,1.11,,,0,0.19,0.09,-0.09,0,,,,,2454193,13,-13,0,K3 V,4746,63,-63,0,0.72,0.02,-0.02,0,150.1971964,-9.5165689,41.3342,0.0685,-0.0682
BD-10 3166,b,148563075,0,3.48777,0.00011,-0.00011,0,0.04,0,0,0,1.26,,,0,0.02,0.02,-0.02,0,2451705.963,0.031,-0.026,0,2451342.7,0.06,-0.06,0,K0 V,5393,44,-44,0,0.91,0.04,-0.04,0,164.6191243,-10.7704227,84.4069,0.3537,-0.3508
BD-11 4672,b,217831699,0,1634,13,-14,0,2.36,0.04,-0.04,0,1.25,,,0,0.05,0.05,-0.03,0,,,,,2455899,38,-46,0,K7 V,4550,110,-110,0,0.64,0.02,-0.02,0,278.3688659,-11.6370481,27.1665,0.0346,-0.0346
BD-11 4672,c,217831699,0,74.2,0.06,-0.08,0,0.3,0.01,-0.01,0,0.36,,,0,0.4,0.13,-0.15,0,,,,,,,,,K7V,4550,110,-110,0,0.64,0.02,-0.02,0,278.3688659,-11.6370481,27.1665,0.0346,-0.0346
BD-13 2130,b,288474555,0,714.29999,5.3,-5.3,0,1.66,0.12,-0.12,0,1.11,,,0,0.21,0.07,-0.07,0,,,,,2453213,21,-21,0,G5 IV/V,4545,71,-71,0,19.17,4.96,-4.96,0,114.2884692,-13.9066703,925.214,41.211,-41.211
BD-17 63,b,75377076,0,655.6,0.6,-0.6,0,1.34,0.02,-0.02,0,1.15,,,0,0.54,0.005,-0.005,0,,,,,2454627.1,1.5,-1.5,0,K5 V,4714,93,-93,0,0.69,,,0,7.1413494,-16.2273254,34.4603,0.0929,-0.0924
BD-210397,b,268804174,0,1891,56,-48,0,2.63,0.06,-0.05,0,1.25,,,0,0.1,0.1,-0.1,0,,,,,2456490,255,-372,0,K7 V,4051,239,-239,0,0.75,0.09,-0.09,0,33.3024198,-21.1962147,23.7324,0.0228,-0.0227
BD-210397,c,268804174,0,6240,151,-156,0,5.9,0.1,-0.1,0,1.15,,,0,0.43,0.05,-0.05,0,,,,,2460193,195,-156,0,K7 V,4051,239,-239,0,0.75,0.09,-0.09,0,33.3024198,-21.1962147,23.7324,0.0228,-0.0227
CD Cet,b,328465904,0,2.2907,0.00012,-0.00012,0,0.0185,0.0013,-0.0013,0,0.162,,,0,,,,,,,,,2458804.489,0.017,-0.018,0,M5.0 V,3130,51,-51,0,0.17,0.01,-0.01,0,48.3530155,4.7751881,8.60715,0.00658,-0.00658
CFBDSIR J145829+101343,b,,0,10037.5,2737.5,-2737.5,0,2.6,0.3,-0.3,0,1.11,,,0,,,,,,,,,,,,,,580.5,24.5,-24.5,0,,,,,224.6208333,10.2286111,23.1,2.4,-2.4
CFHTWIR-Oph 98 A,b,175744063,0,8040000,470000,-470000,0,200,6,-6,0,1.86,0.05,-0.05,0,,,,,,,,,,,,,M9-L1,2320,40,-40,0,0.24,0.01,-0.01,0,246.934277,-23.98115,,,
CHXR 73,b,454291479,0,,,,,210,,,0,1.1,,,0,,,,,,,,,,,,,M3.5,3099,128,-128,0,,,,,166.6193985,-77.6258725,190.374,6.647,-6.22
CI Tau,b,61230756,0,8.9891,0.0202,-0.0202,0,,,,,1.11,,,0,0.25,0.16,-0.16,0,,,,,,,,,K7,3807,131,-131,0,1.88,0.09,-0.42,0,68.4667685,22.8416192,157.998,1.198,-1.18
COCONUTS-2 A,b,272232401,0,402000000,470000000,-100000000,0,7506,5205,-2060,0,1.11,0.03,-0.03,0,,,,,,,,,,,,,M3 V,3406,69,-69,0,0.39,0.01,-0.01,0,117.300914,-76.702696,10.8864,0.0041,-0.0042
CT Cha,b,454259409,0,,,,,440,,,0,2.2,0.81,-0.6,0,,,,,,,,,,,,,K5e,4403,6,-10,0,1.68,0.1,-0.16,0,166.0375038,-76.4553693,190.72,0.778,-0.771
CoRoT-1,b,36352297,0,1.5089557,0.0000064,-0.0000064,0,0.02752,0.00022,-0.00023,0,1.49,0.08,-0.08,0,0,,,0,2454159.453,0.0001,-0.0001,0,,,,,G0 V,5950,150,-150,0,1.11,0.05,-0.05,0,102.0798591,-3.1021394,787.909,23.491,-23.491
CoRoT-10,b,405010127,0,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,0.97,0.07,-0.07,0,0.53,0.04,-0.04,0,2454273.344,0.0012,-0.0012,0,2454990.85,0.08,-0.08,0,K1 V,5075,75,-75,0,0.79,0.05,-0.05,0,291.0636813,0.7460143,338.386,3.9865,-3.9865
CoRoT-11,b,110178537,0,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,1.43,0.03,-0.03,0,0,,,0,2454597.679,0.0003,-0.0003,0,,,,,F6 V,6440,120,-120,0,1.37,0.03,-0.03,0,280.6872998,5.9376586,655.037,24.947,-23.209
CoRoT-12,b,280210963,0,2.828042,0.000013,-0.000013,0,0.04016,0.00093,-0.00092,0,1.44,0.13,-0.13,0,0.07,0.063,-0.042,0,2454398.627,0.00036,-0.00036,0,,,,,,5675,80,-80,0,1.12,0.1,-0.09,0,100.7656871,-1.2964437,1126.37,55.745,-55.745
CoRoT-13,b,281909674,0,4.03519,0.00003,-0.00003,0,0.051,0.0031,-0.0031,0,0.885,0.014,-0.014,0,0,,,0,2454790.809,0.0006,-0.0006,0,,,,,G0 V,5945,90,-90,0,1.01,0.03,-0.03,0,102.7211432,-5.0864557,1148.93,62.12,-56.15
CoRoT-14,b,282706928,0,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,1.09,0.07,-0.07,0,0,,,0,2454787.669,0.0053,-0.0053,0,2454787.67,,,0,F9 V,6035,100,-100,0,1.21,0.08,-0.08,0,103.4242023,-5.5360385,1744.6,173.03,-144.9
CoRoT-16,b,218299481,0,5.35227,0.0002,-0.0002,0,0.0618,0.0015,-0.0015,0,1.17,0.16,-0.14,0,0.33,0.09,-0.1,0,2454923.914,0.0021,-0.0022,0,,,,,G5 V,5650,100,-100,0,1.19,0.14,-0.13,0,278.5246658,-6.0026026,732.409,35.344,-32.282
CoRoT-17,b,218299312,0,3.7681,0.0003,-0.0003,0,0.0461,0.0008,-0.0008,0,1.02,0.07,-0.07,0,0,,,0,2454923.309,0.0036,-0.0036,0,2454923.309,0.0036,-0.0036,0,G2 V,5740,80,-80,0,1.59,0.07,-0.07,0,278.699236,-6.612288,1176.12,57.17,-52.19
CoRoT-18,b,37168957,0,1.9000693,0.0000028,-0.0000028,0,0.0295,0.0016,-0.0016,0,1.31,0.18,-0.18,0,0.08,,,1,2455321.724,0.00018,-0.00018,0,,,,,G9 V,5440,100,-100,0,1,0.13,-0.13,0,98.1724172,-0.0316045,764.889,27.614,-25.784
CoRoT-19,b,42821097,0,3.89713,0.00002,-0.00002,0,0.0518,0.0008,-0.0008,0,1.29,0.03,-0.03,0,0.047,0.045,-0.045,0,2455257.441,0.0006,-0.0006,0,,,,,F9 V,6090,70,-70,0,1.65,0.04,-0.04,0,97.0335983,-0.1707293,790.663,26.737,-25.071
CoRoT-2,b,391958006,0,1.7429935,0.000001,-0.000001,0,0.02798,0.00076,-0.0008,0,1.466,0.042,-0.044,0,0.0143,0.0077,-0.0076,0,2454237.536,0.0002,-0.00021,0,2454237.536,0.00014,-0.00014,0,,5625,120,-120,0,0.91,0.03,-0.03,0,291.7770457,1.3836634,213.283,2.485,-2.43
CoRoT-20,b,234825296,0,9.24285,0.0003,-0.0003,0,0.09,0.002,-0.002,0,0.84,0.04,-0.04,0,0.59,0.02,-0.02,0,2455266,0.0014,-0.0014,0,2455265.791,,,0,G2 V,5880,90,-90,0,1.02,0.05,-0.05,0,97.7204249,0.2268931,844.061,24.171,-22.883
CoRoT-20,c,234825296,0,1675,19,-17,0,2.9,0.07,-0.07,0,1.09,,,0,0.6,0.03,-0.03,0,,,,,2454136,31,-35,0,G2 V,4947.5,65.51,-52.5,0,1.37,0.03,-0.04,0,97.7204249,0.2268931,844.061,24.171,-22.883
